gen_loss,l1_loss,ssim_loss,perpectual_loss,FID,mean_generator_loss,mean_disc_whole_loss,mean_disc_mask_loss
67.6063,0.0567,0.2605,0.3091,40.004,28.9537,0.2078,0.0275
27.3818,0.0405,0.0819,0.2249,42.1639,35.1464,0.3666,0.0294
68.9069,0.0587,0.1766,0.3149,57.8365,37.117,0.0734,0.0325
38.7025,0.0512,0.0834,0.3114,57.1644,38.0171,0.0645,0.0288
42.0394,0.0585,0.0946,0.337,39.7729,36.4794,0.1649,0.0265
64.3846,0.064,0.1513,0.2778,37.0895,34.5575,0.0833,0.03
70.2918,0.0755,0.3551,0.33,48.7113,38.5656,0.1959,0.0296
45.2602,0.1679,0.2708,0.3261,49.2345,37.2466,0.2592,0.0255
43.9575,0.0351,0.3791,0.2737,36.5296,35.8586,0.0673,0.03
55.8607,0.07,0.0572,0.2866,38.7238,35.0681,0.0782,0.0268
33.1598,0.0337,0.0494,0.2827,45.5453,35.7877,0.0582,0.0251
49.4865,0.0757,0.1129,0.2929,43.6135,35.3035,0.0533,0.0274
59.9892,0.0374,0.3432,0.253,35.9533,36.8135,0.0572,0.0248
40.8484,0.0575,0.0749,0.3329,46.5014,38.0171,0.0489,0.0329
52.9368,0.0499,0.0508,0.2729,45.2462,37.3426,0.0765,0.0262
37.8182,0.0579,0.0692,0.3078,39.0395,36.486,0.1882,0.0255
49.1832,0.0295,0.0491,0.2458,36.2432,35.0663,0.0465,0.034
45.3776,0.0393,0.4624,0.2949,53.8751,35.7833,0.0563,0.0243
51.1493,0.0446,0.1111,0.3247,44.7662,35.4277,0.0947,0.0264
41.1395,0.0584,0.0427,0.2536,45.5519,35.9056,0.0441,0.0261
34.2922,0.0432,0.0511,0.2897,45.3646,36.2903,0.059,0.0404
44.679,0.0435,0.0573,0.2871,37.8106,34.1199,0.2434,0.0228
33.8731,0.0455,0.0443,0.2842,46.7648,37.4336,0.05,0.0276
29.4394,0.0397,0.1454,0.2459,39.0401,36.9883,0.0765,0.0276
39.9671,0.0686,0.285,0.3141,37.2827,36.7502,0.06,0.0228
48.0353,0.0368,0.0463,0.2344,44.4572,35.8847,0.0989,0.023
30.9124,0.0307,0.054,0.2596,47.4131,36.814,0.0581,0.0268
34.7474,0.0412,0.1531,0.2951,40.1245,34.442,0.0459,0.0248
33.4325,0.0422,0.0483,0.2833,43.4336,35.3959,0.0851,0.0218
28.953,0.0367,0.0985,0.2408,47.5643,34.8868,0.0878,0.021
38.923,0.0729,0.0997,0.2955,44.5372,36.9094,0.0828,0.0345
32.8642,0.0431,0.0473,0.2741,39.875,34.9904,0.0481,0.0227
33.1482,0.0616,0.0528,0.2671,37.6324,35.0833,0.0805,0.0218
40.9588,0.0688,0.1851,0.2776,34.0561,36.1828,0.0635,0.021
27.9194,0.0462,0.036,0.2317,47.437,34.2703,0.0931,0.0217
31.131,0.0513,0.069,0.3433,44.1095,36.5214,0.0697,0.0212
29.2255,0.0336,0.0583,0.238,43.4002,34.6703,0.048,0.0388
34.1551,0.0465,0.0777,0.2708,36.387,34.1605,0.095,0.0276
29.0292,0.0418,0.0468,0.2423,56.1117,36.9461,0.0851,0.0231
39.4739,0.0635,0.0803,0.3151,42.2275,37.512,0.0873,0.0229
38.4201,0.0416,0.0637,0.3227,42.2655,35.7258,0.0989,0.0264
36.375,0.0608,0.0639,0.2963,51.4371,37.9471,0.0778,0.0227
38.9113,0.072,0.0547,0.3182,31.843,34.2644,0.0552,0.0211
32.5073,0.054,0.0661,0.2563,40.1367,33.3948,0.0507,0.0229
39.6663,0.0795,0.084,0.306,56.6355,36.5494,0.0508,0.0201
42.7803,0.0596,0.0857,0.347,33.9449,34.2367,0.0583,0.0273
32.2966,0.0336,0.0519,0.2714,35.9774,34.3767,0.055,0.0212
39.4182,0.0319,0.0698,0.3363,45.9894,35.2861,0.0711,0.0206
32.6526,0.0386,0.0458,0.2779,34.5954,35.5978,0.0715,0.0202
33.3345,0.0342,0.0496,0.2814,60.8053,36.5724,0.0667,0.0191
36.2283,0.0382,0.0952,0.2875,54.5795,35.9192,0.0624,0.0203
35.906,0.0434,0.0579,0.304,42.0242,36.6377,0.0927,0.0239
38.3654,0.0897,0.051,0.3068,37.7874,34.9633,0.1257,0.0211
44.137,0.0613,0.1802,0.3143,31.1902,35.182,0.1037,0.0203
36.0192,0.0693,0.0885,0.2726,37.2954,34.836,0.0828,0.019
35.466,0.042,0.0736,0.2934,31.0951,33.8994,0.0697,0.0196
42.1517,0.0781,0.1621,0.2929,33.6375,35.2606,0.0727,0.0286
37.9584,0.0867,0.1003,0.279,50.3294,34.4245,0.0691,0.0214
30.391,0.0444,0.0408,0.2514,41.5312,35.8034,0.0583,0.0171
39.9935,0.0489,0.0807,0.329,31.9247,34.1962,0.0662,0.027
45.294,0.0662,0.1054,0.3579,41.2445,35.4571,0.0661,0.0195
29.1265,0.0403,0.0435,0.2422,46.0923,37.8101,0.047,0.0205
38.7182,0.0541,0.067,0.322,42.6449,35.9737,0.0762,0.026
34.192,0.0552,0.0497,0.2833,43.9673,35.5316,0.1198,0.022
34.1461,0.0341,0.0575,0.2916,54.1697,34.4847,0.1012,0.018
35.9574,0.0412,0.098,0.2833,49.3457,35.0017,0.0817,0.0215
35.9578,0.0495,0.0853,0.2861,42.734,34.8397,0.1386,0.0202
34.5478,0.0365,0.0515,0.2963,41.6262,33.1517,0.0779,0.0182
